명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보,개장기간,입장료,체험가능연령, 유산구분,개장일,체험안내,이용시기
복천박물관(부산),47800.0,,,부산광역시 동래구 복천로 63(복천동),35.2088924921,129.0911042192,"복천박물관은 복천동고분군에서 출토된 유물을 중심으로, 삼한시대부터 삼국시대까지 부산의 역사를 보여주는 고고전문박물관으로 1996년 10월 5일에 개관했다. 7차에 걸친 발굴 조사로 밝혀진 169기의 유구와 각종 토기 및 철기류 등의 유물을 종합전시하였다. 사적으로 지정된 복천동고분군에서 출토된 충부한 유물과 다양한  무덤 양식들은 아직 미지의 왕국으로 남아있는 가야의 신비를 푸는데 중요한 정보를 제공하고 있다. 그리고 더 나아가 이웃 일본 고대문화의 원류를 규명할 수 있는 중요한 자료로도 평가되고 있다. 또한 복천박물관은 개관 이후로도 인근지역의 매장문화재에 대한 조사와 연구를 수행하여 부산의 역사와 문화, 나아가 가야사의 실체를  규명해 나가고 있다. 지속적으로 축적된 연구성과를 다향한 학술세미나 및 특별전을 통해 전문가와 시민들에게 제공함으로써 역사교육장으로서의 역할에도 내실을 기하고 있다.",,"부지 56,334㎡<br>
건물연면적 7,797,97㎡ (전시관 6.811.01㎡ / 야외전시관 316,01㎡ / 기타 670,95㎡)",,"관람시간<br />
평일 및 일요일 : 09:00 ~ 18:00<br />
입장시간<br />
평일 및 일요일 : 09:00 ~ 17:00","1월 1일, 매주 월요일",무료,,약 1~2시간,주차 가능,,없음,불가,없음,"사업내용:문화재 발굴조사, 특별전시, 학술연구서 발간, 문화재보존처리 및 관리, 자료 수집, 사회교육(문화비디오 상영 및 가야사 강좌)
소장품현황:총 7,575점 / 1,848점 전시
한국어 안내서비스:※ 매일 2회 실시 (10:30, 14:00)<br />
- 20인 이내(8세 이상)
",,,,,,,
백산기념관,48955.0,,,부산광역시 중구 백산길 11,35.1019784209,129.0345787296,"* 백산 선생의 독립정신을 기리는 곳, 백산기념관 *
용두산 공원에서 중앙로 방향 계단을 내려오면 백산기념관이 있다. 백산기념관은 백산 안희제 선생의 항일 독립정신을 기념하기 위하여 세운 것으로 백산선생께서는 이 기념관이 있는 자리에 백산상회를 설립 운영하여 독립운동 자금을 마련하였다.

선생께서는 백산상회를 백산무역주식회사로 확장하여 대한민국임시 정부와 국내외 독립운동 단체에 활동자금을 지원하였으며, 독립운동가의 상호 연계 구축에도 심혈을 기울여 백산무역주식회사를 국내 항일독립운동의 중요한 거점으로 활용하였다. 현재 기념관은 1995년 8월 15일 개관하여 부산·경남지역 독립운동의 교육장이 되고 있으며, 전시장에는 선생의 유품과 당시 구국운동 자료 등 80여점이 전시되고 있다.

* 백산 선생에 대하여 *
백산 안희제 선생은 일제의 침략이라는 민족적 위기상황에서 민족교육, 민족기업육성, 항일언론등 다방면에 걸쳐 국권회복을 위해 국내·외에서 활동한 민족독립운동가였다. 자는 태약, 호는 백산, 본관은 강진이다. 백산 선생은 어려서 고향에서 한학을 수학하였는데 특히 문장에 뛰어났다. 러일전쟁(1904)과 일제의 을사늑약(1905) 강제체결 이후 백산선생은 계몽주의로 전환하여 국권회복을 위해 신문학을 통한 자주독립사상을 고취하였다.",,"지상1층, 지하1층",,"평일 10:00~18:00<br />
주말 10:00~17:00","월요일, 공휴일(단, 삼일절, 현충일, 광복절 제외)",무료,,,용두산공영주차장 이용,유료,없음,불가,없음,"소장품현황:백산선생이 사용하던 가방 및 도장, 수학당시 도서, 벼루 및 청동화로 백산 안희제선생 관련 출판물, 기념품, 백산 안희제 흉상
한국어 안내서비스:가능(사전문의)
",,,,,,,
부산시립미술관,48060.0,,,부산광역시 해운대구 APEC로 58(우동),35.1666980687,129.1370458254,"미술인구의 저변확산과 미술창작의 활성화를 목적으로 하여 1998년 3월 20일 개관한 최첨단 감각의 현대적 미술관이다. 여러 장르의 작품 전시와 각종 사회교육 프로그램을 실시하여 일반시민들에게 다양한 문화향유 기회를 제공하는 열린미술관을 지향하고 있다.
건물은 지하 2층·지상 3층으로, 전시실과 수장고, 교육연구실, 사무공간, 야외조각공원 등이 있다. 전시실은 13개의 전시실과 160석의 강당을 비롯하여 전시의 내용에 따라 내부를 적절하게 쓸 수 있도록 개폐식 구조로 되어 있다. 시립미술관에서는 격년제로 짝수 해에 개최되는 비엔날레(현대미술전) 축제의 행사장이며, 1년 내내 기획전, 소장품전, 해외미술전 등이 열려 시민들에게 예술과의 만남의 기회를 제공한다.",,"부지 21,560㎡  / 전시면적 6,321㎡ <br/>
지하 2층/지상 3층",,"[본관/별관] 10:00~18:00<br/>
※ 본관은 금요일/토요일만 10:00~21:00 운영<br/>
※ 입장시간은 관람종료시간 1시간 전","매주 월요일(단, 월요일이 공휴일인 경우 그 다음날을 휴관일로 함), 1월 1일",무료(사전 예약제 운영),,,주차가능,,가능,불가,없음,"대관안내:문의 전화 : 051-740-4214
",,,,,,,
구덕 민속예술관,49200.0,,,부산광역시 서구 대신공원로 34-91(서대신동3가),35.1239284464,129.0185239719,"* 민속예술의 산 교육장, 구덕민속예술관<br /><br />구덕민속예술관은 서구 서대신동3가 대신공원 내에 위치하고 있다. 서부산 지역의 전통문화의 전당으로서 무형문화재 전승보급과 전래하는 미풍양속의 계승과 조상의 얼을 심기 위한 민속예술의 산 교육장으로 활용하기 위하여 부산시에서 건립하였다. 지하1층은 사단법인 구덕민속예술보존협회가 전수장으로 사용하고 있고, 놀이마당 173평에는 1,500명을 수용할 수 있는 계단식 관람석이 마련되어 있다. 무형문화재 보유종목으로 '부산농악'(1980.2.22 부산시무형문화재 제 6호 지정)과 '구덕망깨터다지기소리'(2001.10.17 부산시무형문화재 제11호 지정)가 있다.<br /><br />* 민속문화를 계승하는 구덕민속예술관<br /><br />예술관은 각종 전국민속경연대회의 유수한 수상경력 등을 자랑하고 있는 구덕민속예술보존협회는 매년 1회 정기발표회와 부산민속예술경연대회를 열어 우리소리의 맥을 이어가는 등 부산농악의 전수교육은 물론 새로운 민속문화 발굴 등의 활동을 계속하고 있다.예술관에서는 전수활동을 하고 있는데 부산농악의 경우 부산해사고등학교, 부산정보디자인고등학교, 동호정보여자고등학교 등 3개교를 전수지정학교로 운영하고 있으며, 시민과 학생을 대상으로 연1회 풍물 무료강습회도 열고 있다.<br>",,"연면적 204평, 지상 1층, 지하 1층",,09:00~18:00,"2,4주 제외 토요일, 일요일, 국공휴일",체험에 따라 다름,,,주차 가능(대형차 불가),무료,없음,없음,없음,"체험프로그램:농악, 풍물 체험
사업내용:* 부산 농악 전승 보급<br />
* 전수지정학교 운영 : 부산해사고등학교, 부산정보디자인고등학교, 동호정보여자고등학교<br />
* 풍물 무료강습회 개최 : 연1회
",,,,,,,
수영민속예술관,48229.0,,,부산광역시 수영구 수영성로 43(수영동),35.1712193572,129.1139699306,"* 문화의 계승 및 문화창달을 위한 공간, 수영민속예술관 *<br /><br />수영민속예술관은 부산 수영구 수영동 수영공원 북편 언덕 아래에 있으며, 지역민속 예술인에게 공연 및 전수 등을 할 수 있는 장소로 활용하고 있다. 1973년 10월에 개관하였으나 건물이 좁아 2000년 6월에 신축하였다.<br /><br />* 수영민속예술관이 위치한 수영사적공원에 대하여 *<br /><br />수영사적공원은 조선 시대 남해안의 4군영을 관할했던 수군총괄 군영인 경상좌도 수군절도사영이 있었던 자리로서 현재는 성은 없고 성지 관련 유적만 수영공원에 남아 있다. 이 공원 안에는 25의 용단을 비롯한 사당 및 충혼탑 유형문화재 3종과 수영 야류 등 무형문화재 3종, 수영동 곰솔, 푸조나무 등 천연기념물 2종, 안용복 장군 충혼탑 등 비지정 문화재 5종이 있으며 이를 보존하고 관리하는 수영민속예술관이 있다. 특히 왜인들에게 독도가 우리 땅임을 확약받아온 안용복장군 충혼 사당 및 충혼탑을 비롯하여 송씨할매당, 할배당 등 수영 사람들의 혼이 담겨있는 역사와 교육의 장으로 부산의 해양민속을 한자리에서 볼 수 있는 대표적 문화유적 공원이다.<br /><br />[문화재 정보]<br /><br />1) 무형문화재 <br />국가무형문화재 수영야류 (1971. 2. 26 지정)<br />국가무형문화재 좌수영어방놀이 (1978. 4.1 지정)<br />부산시지정무형문화재 수영농청놀이 (1972. 2. 18 지정)<br />2) 유형문화재 <br />수영성 남문 부산광역시 (1972. 6. 26 지정)<br />좌수영성지 부산광역시 기념물(1972. 6. 26 지정)<br />25의용사 부산광역시 기념물(1972. 6. 26지정)<br />3) 민속예술관 및 탈방<br />4) 수영사적원<br />5) 천연기념물 곰솔나무 천연기념물 (1982. 11. 4)<br />푸조나무 (천연기념물(1982. 11. 4)<br>",,"본관 - 지상 1, 2층 한옥 : 262㎡ (문화원사무실, 보존회 사무실, 기타)<br>
별관 - 연면적 : 79평, 지상1층(수영사적원), 지하 1층(강당)<br>
놀이마당 - 450㎡ (136평 원형)",,,,,,,주차 가능(공영주차장),,없음,불가,없음,"체험프로그램:문화학교 <br>
-  문화학교과정(풍물, 전통춤, 민요, 민속 등), 우리문화 한아름과정(무형문화재, 풍물, 민요 등), 전문과정(중요무형문화재 전문전수) 등
사업내용:1) 무형문화재 초청 공연·발표, 전수교육<br>
 2) 국가무형문화재 수영야류<br>
 3) 국가무형문화재 좌수영어방놀이<br>
 4) 부산시 지정 무형문화재 제 수영농청놀이<br>
 5) 전통혼례장 운영
",,,,,,,
부산 강서문화원,46702.0,,,부산광역시 강서구 낙동북로 477 강서구청별관 3층,35.2113235102,128.9805054495,"* 지역 문화 발전을 위해 노력하는 부산 강서문화원 *
부산 강서문화원은 지역의 역사 등 다양하고 유익한 문화정보 생활을 위해 설립된 곳이다. 강서문화원은 1994년 개설되어 다양한 문화행사 및 문화학교를 운영하고 있다. 강서문화원에서는 &nbsp;지역사회의 계발 및 문화진흥을 위해 다양한 사업을 수행하고 있다. 강서문화원은 지역고유문화의 계발, 보급, 보존, 전승 및 선양과 향토사의 조사 연구 및 사료수집 및 보존을 주된 목적으로 하고 있다. 또한 지역문화행사의 개최, 문화에 관한 자료의 수집, 보존 및 보급, 지역전통문화의 국내, 외 교류, 지역문화에 관한 사회교육활동, 지역 환경보존 등 지역사회 발전을 위한 문화활동 등 다양한 문화사업을 추진하는 것을 목적으로 삼고 있다.

* 강서문화원에서 진행하는 향토문화연구 사업 *
강서문화원에서는 지역 문화 발전을 위해 다양한 문화사업을 진행하고 있다. 사회교육사업으로는 국악교실, 서예교실 (초급반, 고급반), 풍물교실, 우리 춤 교실, 도예교실, 전통 다도교실, 사진교실, 꽃꽃이교실, 스포츠교실, 청소년 교양강좌(문화유적지 순례교육, 청소년을 위한 음악회)를 개설 운영하고 있다. 문화행사사업으로는 강서풍년제, 가람백일장, 강변사생대회, 구민휘호 대회, 서화.사진.도예.꽃꽃이 전시 및 전통다례시연, 민요.풍물.우리춤.스포츠댄스 발표공연 등을 운영하고 있다.",,,,09:00~18:00,,,,,주차 가능(구청 주차장 이용),,없음,불가,없음,"사업내용:지역고유문화의 계발 · 보급 · 보존 · 전승 및 선양  <br />
향토사의 발굴 · 조사 · 연구 및 사료의 수집 · 보존 <br />
지역문화행사의 개최 <br />
문화에 관한 자료의 수집 · 보존 및 보급 <br />
지역전통문화의 국내 · 외 교류 <br />
지역문화에 대한 사회교육활동<br />
지역 환경보존 등 지역사회 발전을 위한 문화활동 <br />
지역문화의 창달을 위한 사업<br />
기타 지역문화발전에 기여할 수 있는 사업
소장품현황:전통의상, 전통악기 등
대관안내:대관시설 : 공연장, 전시실, 강의실 및 회의실<br />
대관문의 : 051-972-6369
",,,,,,,
부산해양자연사박물관,47700.0,,,부산광역시 동래구 우장춘로 175,35.2219685247,129.0759940639,"* 바닷속 신비함을 만난다, 부산해양자연사박물관 *<br><br>1994년 6월 10일 개관한 부산해양자연사박물관은 국내 최초, 최대 규모의 해양자연사 분야의 전문박물관으로 세계 100여 개국의 희귀종, 대형 종, 한국특산종 등 해양생물을 중심으로 자연사 자료 25,000여 점을 수집 전시하고 있으며, 소장품의 상당수는 전시가치 및 희귀성 면에서 국제적인 수준이다.<br>2003년 4월에는 제2전시관을 개관하였으며, 2007년 2월 23일 분관으로 부산어촌민속관을 개관하였다. 

* 박물관에 가면 만날 수 있는 해양생물 *
부산해양자연사박물관 주요 전시품으로는 현존하는 패류 중 가장 큰 종인 식인조개, 현존 민물어류 중 가장 큰 종인 아라파이마,  한 달중 보름은 산에서, 보름은 바다에서 산다고 하는 전설적인 물고기 산갈치, 어류 중 가장 큰 종인 고래상어, 오징어류 중 가장 큰 종인 점보오징어, 국내에서 발견된 공룡 뼈 화석 중 가장 완벽한 중생대용 각류 공룡의 어깨뼈 화석, 남미 아마존강 등에서 강을 건너는 소나 양들을 무리지어 공격해서 뼈와 가죽만 남기고 먹어치우는 육식성 어류인 피랴냐, 경골어류로 턱에는 이가 없고 알(캐비아)은 고급요리로 사용되는 철갑상어, 세계에서 2번째로 크게 자라는 물왕도마뱀, 대형종으로 성질이 매우 거칠고 이빨이 강한 악어거북, 세계에서 3번째로 큰 육지 거북종인 며느리발톱거북 등이 소장되어 있다.",,,,"09:00~18:00 (입장마감 17:00)<br>
* 코로나-19 확산 방지를 위하여 사전예약제 운영<br>
시간당 36명 선착순으로 운영. 입장시 예약자 확인 등을 위하여 신분증 지참","1월 1일, 매주 월요일(단, 월요일이 공휴일인 경우 그 다음날 휴관)",무료,,1시간~1시간 30분,인근 공영주차장 이용(문의 051-555-4882),"대형버스(45인승) - 10분당 600원<br>
중형버스(30인승 이하) - 10분당 400원<br>
소형 승용차 - 10분당 200원<br>
※ 이용요금은 1일 최대 4시간까지만 발생<br>
※ 경차, 다자녀가정, 승용차요일제 참여차량 50% 할인",없음,불가,없음,"사업내용:1) 연구기능 - 표본들의 지속적인 확보.유지 및 분류.보전 활동<br>
2) 전시기능 - 일반 관람객에 박물관 소장표본 전시를 통한 박 물관의 기본적인 역할수행 <br>
3) 도서관의 역할 - 다양한 생물들의 생활사를 연구할 수 있도록 보조<br>
4) 교육 기능 - 일반인 및 학생들을 위한 각종 프로그램의 개발 보급
예약안내:단체 방문시 사전예약
한국어 안내서비스:* 해설시간 <br />
화~금요일 : 10시, 11시, 13시<br />
토, 일, 공휴일 :전체해설 10시, 13시, 15시 / 테마해설 11시 30분, 14시<br />
* 해설대상 : 일반관람객 및 단체<br />
* 해설진행  회당 2팀 운영(팀당 20명 이하) <br />
* 소요시간 : 전체해설 50분 / 테마해설 20분<br />
* 신청방법 : 현장접수 및 전화예약 (☎ 051-553-4944, 051-550-8807)<br />
※ 테마해설은 게릴라 형식으로 즉석 진행
",,,,,,,
한광미술관,48937.0,,,부산광역시 중구 중앙대로 130(중앙동4가),35.1089749129,129.0374394009,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 사전예약제(2021.11.01 ~ 별도안내시까지)</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>한광미술관은 1996년 박물관 진흥법에 정식으로 등록되어 부산에서는 가장 오래된  사립미술관이다. 부산의 문화 진흥 및 청소년 교육 창달을 위하여 한광덕 초대 관장이 30여 년 운영해 오던 미술관이다. 소장 작품은 한광덕 설립자가 광복 후부터 50여 년간 수집한 미술품으로 조선조 및 근,현대 한국화를 비롯하여, 서예 병풍 북한화, 일본화, 중국화, 서양화 등 약 400여 점이 된다. 대표작가로는 단원 김홍도, 혜운 신윤복, 오원 장습업(삼원)과 겸제 정선을 비롯하여 근, 현대 작가인 소치 허유, 남농 허건, 월전 장우성, 청전 이상범, 이당 김은호 등이 있으며, 추사 김정희, 석봉 한호, 다산 정약용, 백범 김구 등 명필과 박정희, 김영삼 전 대통령의 친필 서예작품도 있다.<br>",,,,13:30~17:30,주말 및 공휴일<br/>※ 전화문의 요망,,,,불가,,없음,불가,없음,"소장품현황:한국화, 현대·근대·조선시대 서화와 중국·북한의 산수화 등 각종 한국화, 동양화 작품 소장
",,,,,,,
동의대학교 중앙도서관,47340.0,,,부산광역시 부산진구 엄광로 176(가야동),35.1418461812,129.0346331923,"* 대학 도서관을 넘어 평생교육의 장으로, 동의대학교 중앙도서관 *

동의대학교 중앙도서관은 1979년 개관 후 1984년 지하 1층, 지상 9층의 현대식 건물로 이전하였다. 현재 약 100여만 권의 장서와 3,875석의 열람석을 갖춘 도서관으로 자리매김했다. 도서관에 대한 이용 안내와 학술정보 서비스를 조직적으로 활용할 수 있도록 각종 정보를 제공하고 있으며, 국내외의 다양한 이용자를 위해 영문 홈페이지와 한의과대학 분관 홈페이지도 함께 제공하고 있다. 주요 서비스로는 우리 도서관 검색시스템 이용과 동의대 발행 학위논문 및 학술 간행물 자료에 대하여 디지털화한 원문을 외부 이용자에게도 제공하고 있다.

* 네트워크 활성화를 통한 평생교육의 장으로 발돋움 *

KERIS, KORSA, 국회도서관, 국립중앙도서관 등의 기관과 학술정보협력 협정을 체결하였으며 부경지역의 사립 대학도서관 간 대학정보교류협의회(PAUJIS)를 구성하여 자원 공유를 활성화하고 있다. 또한 2000년부터 지역사회 기관 및 주민에게도 도서관을 개방하여 지역의 지식정보센터 및 평생교육의 장으로 역할을 하고 있다.",,,,"각자료실 : 학기중 09:00 ~ 20:00 / 방학중 09:00 ~ 17:00<br />
일반열람실 : 09:00 ~ 21:00","주말 및 국정공휴일, 개교기념일, 기타 관장이 필요하다고 인정할 때",,,,주차 가능,,없음,불가,없음,"사업내용:도서 열람 및 대출, 강좌운영, 독서관련 행사 등
",,,,,,,
고신대학교복음병원 의학도서관,49267.0,,,부산광역시 서구 감천로 262,35.0809776153,129.0139810929,"* 의료사업과 정보 제공을 하는, 고신대학교 의학도서관 *<br />고신대학교 복음병원 의학도서관으로 의학 관련 도서와 비의학 관련 도서 그리고 사전과 학위논문, 연보, 연감에 대한 자료를 제공하고 있는 도서관이다.<br />기독교(프로테스탄트 교회) 병원의 특성에 맞게 환자들에게 육신에 대한 치료뿐만 아니라 영적 치료를 위하여 복음전도 및 자원봉사 활동, 호스피스 활동, 의료 선교사 파견 및 후원 등 선교 의료사회사업에도 힘쓰고 있다. 또한 1993년에는 중국 지린성 룽징시와 자매결연을 맺어 지속적인 무료 진료 및 수술, 의료지원을 펼치는 등 의료선교와 국민보건 향상과 국가 의료발전에 기여하고 있다.<br /><br />* 고신대학교의 걸어온 길 *<br />1951년 초대병원장 장기려 박사는 6·25전쟁으로 인한 피난민과 병마에 시달리는 가난한 환자들을 치료하기 위해 무료병원인 복음진료소를 개설하였다. 1957년 서구 암남동 34번지 현 위치로 이전한 후 지속적인 발전을 거듭하여 1978년 전국에서 두 번째, 지방에서는 가장 먼저 암센터를 개설하였다.<br />1981년 의학부(의대) 설립, 1968년 설립한 복음간호전문대학을 1988년에는 4년제 간호학과로 개편하였으며, 또한, 1993년에는 보건분야의 중견인력을 양성하는 보건대학원을 설립하는 등 교육 연구하는 기관으로서의 모습을 갖추어 양질의 진료와 의학 각 분야에 있어 질병 퇴치를 위하여 활발한 활동을 하고 있다.<br>",,,,"[열람실/대출] 월~금 08:30~17:30<br />
[자유열람실/국시준비실] 24시간","토요일, 일요일, 공휴일",무료,,,주차 가능,,없음,불가,없음,"사업내용:도서 열람 및 대출, 강좌운영 외 독서관련 행사 등
",,,,,,,
기장문화원,46080.0,,,부산광역시 기장군 기장읍 청강로74번길 35-6,35.2353502842,129.2217032374,"* 지역 문화 발전을 선도하는 기장문화원 *<br /><br />기장문화원은 지역의 문화유적 보전, 향토문화 연구 등을 목적으로 1997년 개원하였다. 현재 지역 주민을 위해 다양한 활동을 하고 있으며, 1998년 1월 향토문화연구소와 정신문화연구소를 개소하여 운영 중이다. 1997년 3월 26일 열린 창립총회에 이어 같은 해 8월 4일 부산광역시 설립인가를 받고 11월 6일 문을 열었다. 1998년 1월 홍문관이라는 이름으로 부설 도서관을 설치하였으며 2002년 8월에는 부속 국악단을 창단하였다.<br /><br />* 시민의 문화생활을 위한 다양한 프로그램 *<br /><br />기장문화원은 지상2층 지하1층 연면적 1,645㎡ 규모에 향토사연구실과 생활예절실, 민속놀이 시설, 강당, 강의실 등으로 이루어졌다. 이러한 시설을 기반으로 다양한 프로그램을 운영하고 있다. 사진교실, 다도 및 예절교실, 문화강좌 등의 문화교실을 개설하여 지역 주민들에게 문화활동의 기회를 제공한다. 또 원지 《기장문화》를 비롯하여 《한시문화》 《기장현문헌지》 등을 발간하고 태정대(太停臺) 기장읍성 등 기장군 지역의 여러 문화유적지 탐사를 주도하고 있다.<br>",,"1,644.97㎡",,09:00~18:00,"토요일, 일요일, 공휴일",,,,주차 가능,,없음,불가,없음,"사업내용:문화교실 운영, 책자발간, 전시회 및 축제 추진, 문화재 발굴 조사
",,,,,,,
동래문화원,47746.0,,,부산광역시 동래구 문화로 80(명륜동),35.2121004469,129.0901153279,"* 동래문화 지킴이, 동래문화원 *

21C는 정신적 문화적인 측면에서는 개선하고 발전 시켜야 할 점들이 많다. 이런 사안을 명확히 숙지하고 솔선수범하여 바른 길을 만들고자 개원한 곳이 동래문화원이다. 특히, 동래는 예부터 부산의 중심으로써 중요 문화재와 유적지가 산재해 있는 유서 깊은 곳으로 동래문화원이 동래문화의 지킴이로서 역할을 수행하고 있다. 그동안 구청으로부터 시행하던 동래읍성역사축제를 비롯한 3개 문화행사와 삼충록을 비롯한 동래제영 잡저 등과 매년 동래문예지를 발간하는 등 그 위상을 높이고 있다.

* 동래문화원의 다양한 행사 및 프로그램 *

동래문화원은 문화관광부로부터 문화학교로 지정 받아, 연중 동래학춤, 풍물,사군자, 서예 등의 문화강좌를 개설 운영하고 있다. 또한 동래구민들의 문화 여가선용과 문화학교학생들의 “1인 1기예” 실현이란 목표 아래 쉼 없는 노력으로 부산의 어느 문화학교에 뒤지지 않는 토대를 닦아 왔다. 

동래문화원의 행사와 프로그램은 다음과 같다. 동래 3.1독립만세운동, 동래읍성역사축제, 임진동래의총제향, 향토사료조사연구, 문화학교 운영, 토탈공연 및 전시, 문화유적탐방, 향토문화예술지발간, 동래읍성되쌓기 사업, 동래사랑마이홈러브카드 제휴발행, 찾아가는 문화원, 통합복권기금사업(소외계층 문화체험) 등",,,,강좌에 따라 다름,"토요일, 일요일, 공휴일",,,,주차 가능,,없음,불가,없음,"사업내용:동래 3.1독립만세운동, 동래읍성역사축제, 임진동래의총제향, 향토사료조사연구, 문화학교 운영, 공연 및 전시, 문화유적탐방, 향토문화예술지발간, 국비공모사업, 자매결연 등
",,,,,,,
사상문화원,47022.0,,,부산광역시 사상구 가야대로196번길 51(학장동),35.1476309123,128.994858718,"사상문화원은 지역주민의 문화의식 함양사업, 지역환경보존 등 지역사회 발전을 위한 문화활동를 하며, 향토문화조사 및 연구사업, 지역축제 개발 및 육성사업을 목적으로 설립되었다.<br>",,,,"09:00~18:00<br />
※ 강좌시간에 따라 변동 가능","토요일, 일요일, 국공휴일",,,,주차 가능,,없음,불가,없음,"사업내용:문화행사, 문화교육사업, 향토사연구, 문화학교운영
",,,,,,,
금정문화원,46250.0,,,부산광역시 금정구 중앙대로1826번길 10-4(구서동),35.2472993377,129.0932029798,"* 진정으로 구민을 위한 문화원, 금정문화원 *<br /><br />2000년 5월 3일 개원한 금정문화원은 향토사 조사 및 연구를 지속적으로 추진하고 있으며 각종문화 행사 활성화로 지역주민의 문화 향수 기회를 확대하여 주민스스로 찾아오시는 문화원이 되도록 최선의 노력을 다하고 있다.<br /><br />금정문화원에서는 3·1절 행사, 문화교실 운영, 충무공 이순신장군 추모 전국 시조가사가곡경창대회 등 다양한 문화행사를 통해 주민의 문화생활에 활기를 주고 있다. 문화학교 강좌로는 현대문학강좌와 같은 문학 강좌를 시작으로 실버 시대에 걸맞는 실버문화학교, 어르신문화학교 등도 운영하고 있으며, 다문화가정을 위한 다문화가정 이주여성 문화이해 교실, 다문화가정 이주여성 한글학교 등도 운영하고 있다.<br /><br />* 금정구의 전설 *<br /><br />금정구는 부산의 관문이자 교통의 요충지며 교육과 문화의 중심지일 뿐 아니라 BC 15000년을 전.후한 후기 구석기 시대부터 금정(金井)지역에서 인간이 거주하였다고 볼 수 있으며 천혜의 자연경관인 금정산(金井山801.5m) 고당귀운. 고당봉 아래에 있는 금샘(둘레 7m, 남북으로 1m50cm , 동서로 1m30cm 샘의 둘레가 3m 깊이 20cm)은 늘 물이 차있어 가뭄에도 마르지 않고 황금빛이 나는 한 마리의 금빛 물고기가 오색 구름을 타고 범천(梵天)에서 내려와 놀았다고 하여 금빛 우물금정(金井)이라는 전설이 있다.",,,,※ 프로그램 별 상이,"토요일, 일요일, 공휴일",,,,주차 가능,,없음,불가,없음,"사업내용:우리 역사 바로 알고 바로 세우기 사업’의 일환으로 향토문화지를 발간하여 우리고장의 역사 문화 유적지 세시 풍속을 관내 주민에게 홍보하며 우리고장의 역사 및 유적을 널리 알리고자 한다.
",,,,,,,
